delta,lat,lon,depth_top_cm,depth_bot_cm,soc,ph,clay,silt,sand,source
Sacramento,38.2282294999999,-121.9518814,10.0,23.0,7.4,5.8,13.5,48.2,38.3,WoSIS
Sacramento,38.2282294999999,-121.9518814,23.0,53.0,2.8,7.633333,33.9,35.0,31.1,WoSIS
Sacramento,38.2282294999999,-121.9518814,53.0,82.0,1.2,8.566667,26.7,30.3,43.0,WoSIS
Sacramento,38.2282294999999,-121.9518814,82.0,122.0,0.8,8.566667,34.1,44.9,21.0,WoSIS
Amazon,-1.1,-51.3667,0.0,30.0,5.5,5.2,32.0,66.0,2.0,WoSIS
Mississippi,29.8846111,-91.6634166999999,0.0,23.0,17.5,8.2,22.3,76.2,1.5,WoSIS
Mississippi,29.8846111,-91.6634166999999,23.0,35.0,17.5,8.0,28.1,70.8,1.1,WoSIS
Mississippi,29.8846111,-91.6634166999999,35.0,50.0,11.3,8.2,26.2,70.5,3.3,WoSIS
Mississippi,29.8846111,-91.6634166999999,50.0,62.0,6.1,8.2,19.7,76.9,3.4,WoSIS
Mississippi,29.8846111,-91.6634166999999,62.0,77.0,3.3,8.5,17.6,74.8,7.6,WoSIS
Mississippi,29.8846111,-91.6634166999999,77.0,104.0,1.7,8.3,20.1,78.4,1.5,WoSIS
Limpopo,-24.875278,33.515,0.0,15.0,2.9,5.1,5.6,2.2,92.2,WoSIS
Limpopo,-24.875278,33.515,15.0,80.0,1.7,4.9,5.6,3.7,90.7,WoSIS
Limpopo,-24.875278,33.515,80.0,135.0,0.6,5.0,3.0,2.1,94.9,WoSIS
Niger,5.044444,5.890278,0.0,4.0,57.5,4.9,82.0,15.8,2.2,WoSIS
Niger,5.044444,5.890278,4.0,15.0,31.1,5.0,86.4,13.0,1.1,WoSIS
Niger,5.044444,5.890278,15.0,35.0,21.5,5.2,78.7,17.6,3.7,WoSIS
Niger,5.044444,5.890278,35.0,50.0,27.7,5.2,74.8,19.6,5.5,WoSIS
Pearl,23.216666666666665,113.46666666666668,0.0,5.0,15.3,4.9,31.3,11.7,56.9,WoSIS
Pearl,23.216666666666665,113.46666666666668,5.0,19.0,5.8,5.2,41.1,11.1,47.8,WoSIS
Pearl,23.216666666666665,113.46666666666668,19.0,48.0,2.8,5.2,39.8,13.2,47.1,WoSIS
Pearl,23.216666666666665,113.46666666666668,48.0,60.0,1.6,5.2,39.1,14.6,46.3,WoSIS
Pearl,23.216666666666665,113.46666666666668,60.0,83.0,3.7,5.2,39.2,16.1,44.8,WoSIS
Pearl,23.216666666666665,113.46666666666668,83.0,115.0,1.9,5.2,33.5,23.4,43.1,WoSIS
Danube,45.29972222222222,29.579722222222223,0.0,4.0,17.0,8.4,5.0,18.0,77.0,WoSIS
Chao Phraya,13.75,100.16666666666669,0.0,10.0,14.0,5.4,58.0,27.0,15.0,WoSIS
Chao Phraya,13.75,100.16666666666669,10.0,17.0,8.2,6.1,57.0,28.0,15.0,WoSIS
Chao Phraya,13.173333333333334,100.94944444444444,0.0,17.0,6.5,5.3,14.0,18.0,69.0,WoSIS
Chao Phraya,13.173333333333334,100.94944444444444,17.0,33.0,3.7,5.7,10.0,22.0,69.0,WoSIS
Chao Phraya,13.173333333333334,100.94944444444444,33.0,59.0,2.4,5.8,14.0,19.0,66.0,WoSIS
Chao Phraya,13.173333333333334,100.94944444444444,59.0,80.0,2.7,5.4,26.0,22.0,52.0,WoSIS
Chao Phraya,13.173333333333334,100.94944444444444,80.0,123.0,2.9,5.2,32.0,22.0,46.0,WoSIS
Chao Phraya,13.379722222222222,99.99166666666666,0.0,14.0,1.8,4.7,37.0,51.0,12.0,WoSIS
